"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error","Anderson County, Tennessee!!Estimate","Anderson County, Tennessee!!Margin of Error","Bedford County, Tennessee!!Estimate","Bedford County, Tennessee!!Margin of Error","Benton County, Tennessee!!Estimate","Benton County, Tennessee!!Margin of Error","Bledsoe County, Tennessee!!Estimate","Bledsoe County, Tennessee!!Margin of Error","Blount County, Tennessee!!Estimate","Blount County, Tennessee!!Margin of Error","Bradley County, Tennessee!!Estimate","Bradley County, Tennessee!!Margin of Error","Campbell County, Tennessee!!Estimate","Campbell County, Tennessee!!Margin of Error","Cannon County, Tennessee!!Estimate","Cannon County, Tennessee!!Margin of Error","Carroll County, Tennessee!!Estimate","Carroll County, Tennessee!!Margin of Error","Carter County, Tennessee!!Estimate","Carter County, Tennessee!!Margin of Error","Cheatham County, Tennessee!!Estimate","Cheatham County, Tennessee!!Margin of Error","Chester County, Tennessee!!Estimate","Chester County, Tennessee!!Margin of Error","Claiborne County, Tennessee!!Estimate","Claiborne County, Tennessee!!Margin of Error","Clay County, Tennessee!!Estimate","Clay County, Tennessee!!Margin of Error","Cocke County, Tennessee!!Estimate","Cocke County, Tennessee!!Margin of Error","Coffee County, Tennessee!!Estimate","Coffee County, Tennessee!!Margin of Error","Crockett County, Tennessee!!Estimate","Crockett County, Tennessee!!Margin of Error","Cumberland County, Tennessee!!Estimate","Cumberland County, Tennessee!!Margin of Error","Davidson County, Tennessee!!Estimate","Davidson County, Tennessee!!Margin of Error","Decatur County, Tennessee!!Estimate","Decatur County, Tennessee!!Margin of Error","DeKalb County, Tennessee!!Estimate","DeKalb County, Tennessee!!Margin of Error","Dickson County, Tennessee!!Estimate","Dickson County, Tennessee!!Margin of Error","Dyer County, Tennessee!!Estimate","Dyer County, Tennessee!!Margin of Error","Fayette County, Tennessee!!Estimate","Fayette County, Tennessee!!Margin of Error","Fentress County, Tennessee!!Estimate","Fentress County, Tennessee!!Margin of Error","Franklin County, Tennessee!!Estimate","Franklin County, Tennessee!!Margin of Error","Gibson County, Tennessee!!Estimate","Gibson County, Tennessee!!Margin of Error","Giles County, Tennessee!!Estimate","Giles County, Tennessee!!Margin of Error","Grainger County, Tennessee!!Estimate","Grainger County, Tennessee!!Margin of Error","Greene County, Tennessee!!Estimate","Greene County, Tennessee!!Margin of Error","Grundy County, Tennessee!!Estimate","Grundy County, Tennessee!!Margin of Error","Hamblen County, Tennessee!!Estimate","Hamblen County, Tennessee!!Margin of Error","Hamilton County, Tennessee!!Estimate","Hamilton County, Tennessee!!Margin of Error","Hancock County, Tennessee!!Estimate","Hancock County, Tennessee!!Margin of Error","Hardeman County, Tennessee!!Estimate","Hardeman County, Tennessee!!Margin of Error","Hardin County, Tennessee!!Estimate","Hardin County, Tennessee!!Margin of Error","Hawkins County, Tennessee!!Estimate","Hawkins County, Tennessee!!Margin of Error","Haywood County, Tennessee!!Estimate","Haywood County, Tennessee!!Margin of Error","Henderson County, Tennessee!!Estimate","Henderson County, Tennessee!!Margin of Error","Henry County, Tennessee!!Estimate","Henry County, Tennessee!!Margin of Error","Hickman County, Tennessee!!Estimate","Hickman County, Tennessee!!Margin of Error","Houston County, Tennessee!!Estimate","Houston County, Tennessee!!Margin of Error","Humphreys County, Tennessee!!Estimate","Humphreys County, Tennessee!!Margin of Error","Jackson County, Tennessee!!Estimate","Jackson County, Tennessee!!Margin of Error","Jefferson County, Tennessee!!Estimate","Jefferson County, Tennessee!!Margin of Error","Johnson County, Tennessee!!Estimate","Johnson County, Tennessee!!Margin of Error","Knox County, Tennessee!!Estimate","Knox County, Tennessee!!Margin of Error","Lake County, Tennessee!!Estimate","Lake County, Tennessee!!Margin of Error","Lauderdale County, Tennessee!!Estimate","Lauderdale County, Tennessee!!Margin of Error","Lawrence County, Tennessee!!Estimate","Lawrence County, Tennessee!!Margin of Error","Lewis County, Tennessee!!Estimate","Lewis County, Tennessee!!Margin of Error","Lincoln County, Tennessee!!Estimate","Lincoln County, Tennessee!!Margin of Error","Loudon County, Tennessee!!Estimate","Loudon County, Tennessee!!Margin of Error","McMinn County, Tennessee!!Estimate","McMinn County, Tennessee!!Margin of Error","McNairy County, Tennessee!!Estimate","McNairy County, Tennessee!!Margin of Error","Macon County, Tennessee!!Estimate","Macon County, Tennessee!!Margin of Error","Madison County, Tennessee!!Estimate","Madison County, Tennessee!!Margin of Error","Marion County, Tennessee!!Estimate","Marion County, Tennessee!!Margin of Error","Marshall County, Tennessee!!Estimate","Marshall County, Tennessee!!Margin of Error","Maury County, Tennessee!!Estimate","Maury County, Tennessee!!Margin of Error","Meigs County, Tennessee!!Estimate","Meigs County, Tennessee!!Margin of Error","Monroe County, Tennessee!!Estimate","Monroe County, Tennessee!!Margin of Error","Montgomery County, Tennessee!!Estimate","Montgomery County, Tennessee!!Margin of Error","Moore County, Tennessee!!Estimate","Moore County, Tennessee!!Margin of Error","Morgan County, Tennessee!!Estimate","Morgan County, Tennessee!!Margin of Error","Obion County, Tennessee!!Estimate","Obion County, Tennessee!!Margin of Error","Overton County, Tennessee!!Estimate","Overton County, Tennessee!!Margin of Error","Perry County, Tennessee!!Estimate","Perry County, Tennessee!!Margin of Error","Pickett County, Tennessee!!Estimate","Pickett County, Tennessee!!Margin of Error","Polk County, Tennessee!!Estimate","Polk County, Tennessee!!Margin of Error","Putnam County, Tennessee!!Estimate","Putnam County, Tennessee!!Margin of Error","Rhea County, Tennessee!!Estimate","Rhea County, Tennessee!!Margin of Error","Roane County, Tennessee!!Estimate","Roane County, Tennessee!!Margin of Error","Robertson County, Tennessee!!Estimate","Robertson County, Tennessee!!Margin of Error","Rutherford County, Tennessee!!Estimate","Rutherford County, Tennessee!!Margin of Error","Scott County, Tennessee!!Estimate","Scott County, Tennessee!!Margin of Error","Sequatchie County, Tennessee!!Estimate","Sequatchie County, Tennessee!!Margin of Error","Sevier County, Tennessee!!Estimate","Sevier County, Tennessee!!Margin of Error","Shelby County, Tennessee!!Estimate","Shelby County, Tennessee!!Margin of Error","Smith County, Tennessee!!Estimate","Smith County, Tennessee!!Margin of Error","Stewart County, Tennessee!!Estimate","Stewart County, Tennessee!!Margin of Error","Sullivan County, Tennessee!!Estimate","Sullivan County, Tennessee!!Margin of Error","Sumner County, Tennessee!!Estimate","Sumner County, Tennessee!!Margin of Error","Tipton County, Tennessee!!Estimate","Tipton County, Tennessee!!Margin of Error","Trousdale County, Tennessee!!Estimate","Trousdale County, Tennessee!!Margin of Error","Unicoi County, Tennessee!!Estimate","Unicoi County, Tennessee!!Margin of Error","Union County, Tennessee!!Estimate","Union County, Tennessee!!Margin of Error","Van Buren County, Tennessee!!Estimate","Van Buren County, Tennessee!!Margin of Error","Warren County, Tennessee!!Estimate","Warren County, Tennessee!!Margin of Error","Washington County, Tennessee!!Estimate","Washington County, Tennessee!!Margin of Error","Wayne County, Tennessee!!Estimate","Wayne County, Tennessee!!Margin of Error","Weakley County, Tennessee!!Estimate","Weakley County, Tennessee!!Margin of Error","White County, Tennessee!!Estimate","White County, Tennessee!!Margin of Error","Williamson County, Tennessee!!Estimate","Williamson County, Tennessee!!Margin of Error","Wilson County, Tennessee!!Estimate","Wilson County, Tennessee!!Margin of Error"
"Total:","3,314,309","±10,226","35,374","±899","24,357","±842","6,069","±374","5,885","±567","67,081","±1,285","50,573","±1,280","15,688","±643","6,255","±397","11,543","±426","23,224","±682","21,212","±612","7,182","±426","13,193","±631","2,568","±276","15,315","±733","26,251","±817","6,673","±323","23,083","±712","394,905","±3,096","4,480","±260","8,663","±517","26,953","±781","15,912","±561","20,082","±598","6,939","±472","19,468","±675","21,800","±711","12,991","±592","9,882","±465","29,009","±831","5,047","±393","28,208","±1,016","183,372","±2,012","2,349","±192","8,718","±598","10,803","±538","21,958","±829","7,354","±393","11,116","±703","12,960","±680","11,395","±533","3,397","±197","7,882","±493","4,891","±323","26,430","±779","6,627","±465","248,407","±2,477","1,652","±182","8,729","±460","19,315","±671","5,931","±532","15,964","±644","25,630","±849","23,255","±690","10,551","±370","11,882","±678","44,389","±983","11,739","±649","16,638","±695","52,940","±1,169","5,110","±423","18,551","±763","111,668","±1,806","2,989","±271","7,675","±454","12,681","±477","10,295","±470","3,559","±319","1,877","±223","7,387","±370","39,098","±957","13,334","±781","23,347","±727","37,559","±930","191,041","±2,199","8,677","±441","6,206","±483","48,155","±1,199","418,661","±3,879","9,658","±448","5,822","±363","69,428","±1,473","104,034","±1,471","27,409","±760","5,100","±305","7,720","±458","8,758","±486","2,666","±192","18,067","±776","63,330","±1,402","6,263","±352","14,359","±540","11,532","±592","130,018","±1,595","80,136","±1,215"
"    Car, truck, or van:","2,791,801","±9,244","30,157","±1,001","21,438","±823","5,316","±334","5,499","±564","57,702","±1,352","45,245","±1,236","14,027","±665","5,564","±382","10,205","±450","20,920","±693","17,833","±756","6,380","±461","11,478","±636","2,371","±277","14,286","±770","23,255","±815","6,184","±355","20,349","±735","295,095","±4,012","4,161","±257","7,909","±586","22,917","±852","14,896","±600","17,168","±622","6,177","±513","17,110","±722","20,194","±749","11,845","±553","8,911","±489","25,981","±869","4,621","±375","25,974","±1,009","151,396","±2,461","2,231","±213","7,756","±574","9,830","±535","18,583","±830","6,617","±457","9,819","±669","11,423","±752","10,269","±578","3,168","±217","7,210","±536","4,328","±321","24,150","±779","5,902","±456","205,029","±2,533","1,540","±188","8,230","±453","16,813","±727","5,251","±498","14,490","±704","22,238","±838","21,377","±780","9,525","±428","10,954","±673","38,087","±1,081","9,809","±614","14,013","±768","44,568","±1,349","4,583","±470","16,770","±845","98,604","±1,916","2,705","±275","7,054","±457","11,665","±531","9,387","±455","3,082","±333","1,685","±220","6,594","±434","34,143","±957","12,196","±783","20,753","±816","32,287","±886","158,242","±2,563","8,148","±455","4,996","±451","44,090","±1,471","360,013","±4,056","8,650","±449","5,326","±329","60,219","±1,325","84,903","±1,818","24,059","±779","4,792","±379","7,068","±450","7,339","±470","2,262","±213","16,614","±787","53,632","±1,470","5,556","±387","12,423","±573","10,170","±704","91,017","±2,249","65,000","±1,468"
"        Drove alone","2,512,992","±9,035","27,183","±1,041","18,207","±879","5,029","±332","4,602","±587","52,834","±1,371","39,973","±1,349","12,740","±768","5,094","±389","9,228","±461","19,197","±707","15,873","±821","6,028","±452","10,123","±660","2,182","±263","12,346","±766","20,658","±839","5,838","±363","18,305","±818","263,601","±3,694","3,737","±283","7,081","±625","20,861","±847","14,095","±622","15,563","±613","5,534","±518","15,836","±725","18,131","±832","10,663","±611","8,153","±498","23,370","±857","4,000","±344","23,598","±1,086","136,033","±2,510","2,059","±205","6,973","±644","9,058","±590","17,500","±850","5,946","±454","9,224","±656","10,658","±753","8,571","±542","2,738","±237","6,170","±532","3,831","±311","22,138","±840","5,193","±455","188,359","±2,379","1,390","±179","7,378","±437","15,203","±750","4,840","±488","13,083","±711","20,388","±873","19,547","±788","8,322","±490","9,076","±674","33,804","±1,145","8,741","±578","12,914","±732","40,851","±1,255","3,703","±371","15,103","±736","88,898","±2,116","2,463","±268","6,445","±500","10,364","±547","8,538","±479","2,493","±326","1,491","±232","5,902","±435","30,729","±916","10,597","±747","18,957","±802","29,734","±900","139,433","±2,508","7,194","±445","4,616","±420","38,104","±1,556","320,754","±3,734","7,675","±380","4,375","±434","55,221","±1,371","76,943","±1,824","21,629","±824","4,367","±449","6,396","±500","6,491","±510","1,976","±203","14,186","±802","48,942","±1,439","5,179","±374","11,086","±579","9,422","±686","84,430","±2,202","59,505","±1,583"
"        Carpooled:","278,809","±5,177","2,974","±473","3,231","±738","287","±128","897","±302","4,868","±614","5,272","±749","1,287","±333","470","±168","977","±217","1,723","±306","1,960","±365","352","±137","1,355","±361","189","±96","1,940","±434","2,597","±483","346","±122","2,044","±348","31,494","±1,750","424","±131","828","±281","2,056","±519","801","±238","1,605","±352","643","±220","1,274","±279","2,063","±527","1,182","±311","758","±187","2,611","±373","621","±145","2,376","±696","15,363","±1,347","172","±62","783","±317","772","±247","1,083","±259","671","±219","595","±167","765","±185","1,698","±461","430","±150","1,040","±311","497","±188","2,012","±382","709","±191","16,670","±1,355","150","±48","852","±254","1,610","±295","411","±204","1,407","±375","1,850","±360","1,830","±366","1,203","±283","1,878","±443","4,283","±711","1,068","±263","1,099","±285","3,717","±670","880","±284","1,667","±360","9,706","±1,203","242","±124","609","±185","1,301","±275","849","±218","589","±209","194","±123","692","±184","3,414","±609","1,599","±401","1,796","±483","2,553","±433","18,809","±1,513","954","±276","380","±151","5,986","±947","39,259","±2,153","975","±241","951","±231","4,998","±639","7,960","±874","2,430","±466","425","±203","672","±249","848","±252","286","±108","2,428","±365","4,690","±655","377","±115","1,337","±315","748","±216","6,587","±895","5,495","±890"
"            In 2-person carpool","211,385","±4,389","2,574","±491","2,598","±617","252","±119","785","±292","3,951","±537","3,878","±672","917","±271","319","±134","790","±211","1,372","±270","1,170","±287","301","±135","1,119","±333","141","±98","1,627","±376","1,967","±403","284","±114","1,691","±350","23,224","±1,501","303","±112","769","±276","1,666","±502","649","±218","1,154","±308","441","±197","906","±242","1,762","±502","941","±271","623","±166","2,160","±348","326","±134","2,082","±654","11,783","±1,225","132","±63","701","±282","657","±234","809","±226","550","±182","571","±165","604","±166","1,355","±463","264","±110","878","±303","329","±136","1,413","±296","365","±134","13,454","±1,076","105","±40","659","±185","1,099","±206","288","±190","987","±349","1,137","±296","1,377","±328","868","±245","1,078","±318","3,455","±646","797","±227","776","±238","2,973","±629","827","±284","1,282","±342","7,555","±990","212","±117","386","±155","1,025","±240","616","±203","405","±168","141","±106","588","±179","2,628","±564","1,201","±354","1,468","±455","1,989","±362","13,293","±1,304","700","±225","324","±131","4,552","±606","29,248","±1,703","759","±220","750","±209","4,069","±569","6,459","±817","1,789","±390","280","±168","524","±224","680","±224","285","±108","1,395","±309","3,515","±538","259","±102","1,061","±283","516","±178","4,435","±715","3,963","±695"
"            In 3-person carpool","42,500","±1,881","240","±133","342","±282","28","±26","69","±51","713","±259","978","±296","174","±91","103","±92","61","±35","277","±122","560","±233","38","±35","157","±89","0","±20","272","±211","272","±117","62","±50","216","±115","4,649","±777","118","±62","52","±64","242","±128","112","±65","233","±115","171","±113","235","±130","155","±82","48","±50","120","±74","428","±160","227","±110","102","±75","2,346","±459","17","±28","41","±37","102","±62","100","±63","30","±39","14","±19","93","±68","280","±189","159","±132","162","±81","159","±114","435","±187","339","±141","2,089","±390","33","±25","133","±85","392","±189","123","±96","300","±154","313","±176","347","±160","186","±103","247","±172","454","±176","242","±123","173","±114","252","±126","29","±37","310","±170","1,477","±414","28","±33","145","±98","230","±114","109","±60","131","±80","44","±39","98","±58","601","±192","246","±149","167","±66","311","±131","3,654","±833","245","±130","33","±43","873","±660","5,932","±957","54","±54","165","±105","496","±161","1,056","±325","431","±233","145","±95","42","±39","110","±82","0","±20","447","±273","791","±267","103","±72","269","±159","152","±89","1,577","±496","984","±399"
"            In 4-person carpool","15,526","±1,323","108","±76","163","±128","0","±22","41","±37","124","±110","227","±152","169","±103","33","±36","53","±41","58","±53","167","±84","0","±22","54","±45","45","±52","35","±54","161","±112","0","±22","74","±58","2,543","±619","0","±22","3","±7","134","±113","35","±37","114","±76","31","±38","90","±36","142","±88","141","±146","15","±19","14","±17","54","±44","192","±185","500","±202","23","±20","39","±62","0","±26","158","±130","75","±102","0","±26","0","±30","36","±41","7","±9","0","±22","9","±18","112","±111","0","±22","792","±346","12","±17","60","±67","67","±45","0","±22","16","±20","306","±169","74","±60","105","±135","121","±87","180","±134","3","±5","150","±95","272","±143","20","±34","40","±27","499","±336","1","±4","70","±102","33","±34","86","±65","38","±55","0","±20","6","±8","169","±103","70","±91","45","±42","165","±101","896","±337","9","±15","0","±22","407","±217","2,291","±576","111","±88","30","±37","254","±141","278","±107","207","±139","0","±22","58","±87","58","±47","1","±2","438","±273","205","±141","0","±22","7","±14","80","±76","380","±195","437","±324"
"            In 5- or 6-person carpool","6,980","±943","52","±106","49","±38","7","±14","2","±4","35","±45","143","±85","27","±26","15","±23","58","±51","16","±26","63","±47","13","±21","25","±25","0","±20","6","±10","146","±175","0","±22","17","±28","732","±337","3","±5","4","±6","0","±33","0","±30","80","±28","0","±22","23","±30","0","±33","31","±30","0","±26","0","±33","9","±13","0","±33","647","±291","0","±20","2","±4","13","±19","16","±19","0","±22","10","±12","13","±15","0","±26","0","±20","0","±22","0","±22","33","±47","5","±15","227","±148","0","±20","0","±26","46","±44","0","±22","99","±82","82","±101","32","±29","10","±11","318","±121","132","±73","16","±22","0","±30","108","±100","4","±8","6","±10","101","±60","1","±3","8","±16","9","±12","12","±17","15","±26","9","±11","0","±22","16","±18","82","±95","102","±122","54","±47","897","±637","0","±26","21","±33","82","±105","1,422","±425","17","±25","6","±10","102","±93","108","±86","3","±4","0","±22","0","±22","0","±26","0","±20","142","±115","148","±110","15","±23","0","±30","0","±26","140","±83","93","±76"
"            In 7-or-more-person carpool","2,418","±497","0","±33","79","±92","0","±22","0","±22","45","±49","46","±41","0","±30","0","±22","15","±23","0","±33","0","±30","0","±22","0","±30","3","±4","0","±30","51","±64","0","±22","46","±60","346","±325","0","±22","0","±26","14","±13","5","±9","24","±25","0","±22","20","±32","4","±8","21","±29","0","±26","9","±14","5","±9","0","±33","87","±74","0","±20","0","±26","0","±26","0","±33","16","±23","0","±26","55","±54","27","±30","0","±20","0","±22","0","±22","19","±34","0","±22","108","±71","0","±20","0","±26","6","±10","0","±22","5","±10","12","±19","0","±33","34","±49","114","±123","62","±63","10","±15","0","±30","112","±91","0","±22","29","±31","74","±70","0","±20","0","±26","4","±5","26","±36","0","±20","0","±20","0","±22","0","±33","0","±30","14","±23","34","±54","69","±74","0","±26","2","±4","72","±99","366","±162","34","±32","0","±22","77","±57","59","±49","0","±33","0","±22","48","±73","0","±26","0","±20","6","±11","31","±35","0","±22","0","±30","0","±26","55","±50","18","±35"
"    Public transportation:","14,095","±1,267","19","±30","3","±6","0","±22","22","±31","54","±42","19","±22","13","±24","61","±67","0","±26","103","±94","44","±41","6","±12","23","±37","14","±24","10","±16","17","±28","0","±22","77","±64","5,569","±887","0","±22","33","±43","155","±172","0","±30","25","±26","8","±14","0","±30","5","±7","0","±30","0","±26","26","±32","7","±9","0","±33","1,038","±371","0","±20","37","±48","0","±26","0","±33","0","±22","9","±17","53","±56","7","±11","7","±11","0","±22","2","±4","65","±81","0","±22","1,177","±323","0","±20","32","±36","12","±19","0","±22","123","±112","0","±33","0","±33","16","±26","8","±21","290","±177","101","±101","0","±30","109","±68","2","±4","17","±28","465","±224","0","±20","4","±7","15","±20","36","±36","87","±82","0","±20","8","±15","85","±83","26","±45","9","±16","9","±11","544","±226","2","±4","14","±22","114","±134","2,207","±496","5","±9","50","±65","105","±104","99","±73","15","±18","1","±4","0","±22","124","±93","0","±20","15","±16","213","±151","14","±19","27","±32","0","±26","97","±65","287","±135"
