NTD ID,Agency Name,total_revenue_hours,total_ridership,total_vehicles_miles
40001,Chattanooga Area Regional Transportation Authority,214040.0,1808673.0,2607159.0
40002,City of Knoxville,237311.0,2797279.0,3034212.0
40003,City of Memphis,346053.0,3118613.0,5109210.0
40004,Metropolitan Transit Authority,724085.0,8858154.0,9982805.0
40054,City of Johnson City,43768.0,386917.0,566532.0
40055,City of Bristol Tennessee,13468.0,40816.0,166508.0
40057,Jackson Transit Authority,38506.0,322846.0,589542.0
40080,City of Kingsport,17456.0,82722.0,247039.0
40092,City of Clarksville,89608.0,552819.0,1450857.0
40159,Regional Transportation Authority,18733.0,188070.0,551545.0
40162,Franklin Transit Authority,32391.0,85464.0,407867.0
40170,Southeast Tennessee Human Resource Agency,21927.0,60705.0,217320.0
40171,Knoxville-Knox County Community Action Committee,44018.0,103062.0,983960.0
40178,The Transportation Management Association Group,18249.0,74910.0,745398.0
40186,City of Murfreesboro,21600.0,103292.0,227633.0
40190,"East Tennessee Human Resource Agency, Inc.",153708.0,231669.0,3277722.0
40204,Mid-Cumberland Human Resource Agency,93096.0,128540.0,1764542.0
40950,First Tennessee Human Resource Agency,90917.0,135208.0,2300062.0
40954,South Central Tennessee Development District,126653.0,213243.0,2361903.0
40978,Upper-Cumberland Human Resource Agency ,177670.0,294333.0,2856763.0
40989,Southeast Tennessee Human Resource Agency-Rural Division,108394.0,117446.0,2173092.0
41020,Delta Human Resource Agency,21374.0,25194.0,511585.0
41102,City of Gatlinburg,25896.0,736164.0,212070.0
41106,Northwest Tennessee Human Resource Agency,76639.0,121222.0,1704603.0
41136,City of Pigeon Forge,37826.0,2112289.0,437957.0
41151,Southwest  Human Resource Agency,56815.0,81595.0,1514916.0
