county,median_income,urban_rural,total_households,no_vehicle_households,pct_no_vehicle,total_workers,pct_drove_alone,pct_public_transit,pct_taxi_rideshare,pct_worked_from_home,poverty_rate_pct
Anderson County,66183,Urban,32755,1836,5.61,35374,76.84,0.05,0.0,13.09,13.4
Bedford County,67225,Rural,19505,582,2.98,24357,74.75,0.01,0.37,10.47,12.6
Benton County,51746,Rural,7121,385,5.41,6069,82.86,0.0,0.03,5.88,17.8
Bledsoe County,54720,Rural,4858,248,5.1,5885,78.2,0.37,0.46,4.15,20.7
Blount County,77365,Urban,55522,1506,2.71,67081,78.76,0.08,0.05,12.31,8.4
Bradley County,66552,Urban,42596,2256,5.3,50573,79.04,0.04,0.07,9.05,12.7
Campbell County,51557,Rural,17186,986,5.74,15688,81.21,0.08,0.0,8.78,18.5
Cannon County,59443,Rural,5776,267,4.62,6255,81.44,0.98,0.0,9.58,18.3
Carroll County,51787,Rural,11541,629,5.45,11543,79.94,0.0,0.0,5.92,17.0
Carter County,50135,Urban,24425,1123,4.6,23224,82.66,0.44,0.0,7.16,17.1
Cheatham County,89852,Rural,16279,323,1.98,21212,74.83,0.21,0.0,13.71,7.7
Chester County,59341,Rural,6430,201,3.13,7182,83.93,0.08,0.0,9.37,16.1
Claiborne County,49379,Rural,13724,555,4.04,13193,76.73,0.17,0.0,10.37,17.4
Clay County,39972,Rural,3486,235,6.74,2568,84.97,0.55,0.0,6.31,24.2
Cocke County,48016,Rural,15509,683,4.4,15315,80.61,0.07,0.0,3.89,21.9
Coffee County,61505,Rural,23097,964,4.17,26251,78.69,0.06,0.04,9.25,17.4
Crockett County,62165,Rural,5508,398,7.23,6673,87.49,0.0,0.0,6.13,14.5
Cumberland County,60375,Rural,28195,1380,4.89,23083,79.3,0.33,0.0,9.34,14.4
Davidson County,77853,Urban,324907,21243,6.54,394905,66.75,1.41,0.24,20.32,13.9
Decatur County,45375,Rural,4568,260,5.69,4480,83.42,0.0,0.0,5.51,22.1
DeKalb County,53153,Rural,8652,607,7.02,8663,81.74,0.38,0.0,6.64,18.6
Dickson County,75003,Rural,21757,636,2.92,26953,77.4,0.58,0.0,11.48,10.9
Dyer County,58154,Rural,14769,986,6.68,15912,88.58,0.0,0.0,4.88,16.3
Fayette County,88456,Rural,17210,916,5.32,20082,77.5,0.12,0.01,11.96,10.3
Fentress County,51149,Rural,7831,404,5.16,6939,79.75,0.12,0.0,7.39,21.0
Franklin County,63494,Rural,17445,718,4.12,19468,81.34,0.0,0.0,8.29,12.0
Gibson County,62755,Rural,20360,1344,6.6,21800,83.17,0.02,0.01,5.33,13.7
Giles County,62307,Rural,12058,629,5.22,12991,82.08,0.0,0.0,6.82,12.8
Grainger County,50538,Rural,9660,480,4.97,9882,82.5,0.0,0.0,7.61,17.1
Greene County,56194,Rural,28400,1496,5.27,29009,80.56,0.09,0.02,7.77,15.4
Grundy County,47593,Rural,5161,234,4.53,5047,79.26,0.14,0.0,5.83,18.9
Hamblen County,55454,Rural,26146,1293,4.95,28208,83.66,0.0,0.0,5.45,18.4
Hamilton County,76183,Urban,154181,8942,5.8,183372,74.18,0.57,0.19,14.32,13.1
Hancock County,34960,Rural,2828,335,11.85,2349,87.65,0.0,0.0,4.3,32.2
Hardeman County,46069,Rural,9110,691,7.59,8718,79.98,0.42,0.0,8.22,19.0
Hardin County,49956,Rural,11001,596,5.42,10803,83.85,0.0,0.0,7.35,21.5
Hawkins County,56936,Rural,23567,1006,4.27,21958,79.7,0.0,0.0,11.33,15.2
Haywood County,50472,Rural,7167,810,11.3,7354,80.85,0.0,0.0,5.47,21.5
Henderson County,55136,Rural,10920,492,4.51,11116,82.98,0.08,0.0,9.79,16.9
Henry County,50613,Rural,13452,759,5.64,12960,82.24,0.41,0.35,7.16,18.3
Hickman County,68247,Rural,9435,260,2.76,11395,75.22,0.06,0.0,8.94,10.6
Houston County,59576,Rural,3353,91,2.71,3397,80.6,0.21,0.0,5.15,11.1
Humphreys County,60616,Rural,7241,278,3.84,7882,78.28,0.0,0.33,6.33,14.8
Jackson County,47951,Rural,4795,293,6.11,4891,78.33,0.04,0.0,9.81,20.3
Jefferson County,66114,Rural,21817,604,2.77,26430,83.76,0.25,0.0,6.95,11.4
Johnson County,53129,Rural,7298,312,4.28,6627,78.36,0.0,0.0,9.7,21.4
Knox County,74222,Urban,201146,10608,5.27,248407,75.83,0.47,0.2,14.35,12.2
Lake County,28814,Rural,2067,379,18.34,1652,84.14,0.0,0.0,2.72,32.2
Lauderdale County,49879,Rural,9325,852,9.14,8729,84.52,0.37,0.0,3.09,21.0
Lawrence County,54706,Rural,16991,1289,7.59,19315,78.71,0.06,0.0,10.57,15.0
Lewis County,56285,Rural,5387,132,2.45,5931,81.61,0.0,0.0,6.37,16.7
Lincoln County,64667,Rural,14849,572,3.85,15964,81.95,0.77,0.0,6.49,12.9
Loudon County,84185,Rural,24056,906,3.77,25630,79.55,0.0,0.0,12.02,12.6
McMinn County,61470,Rural,21218,883,4.16,23255,84.06,0.0,0.0,5.76,13.0
McNairy County,53473,Rural,9939,459,4.62,10551,78.87,0.15,0.0,8.89,16.5
Macon County,59177,Rural,9421,461,4.89,11882,76.38,0.07,0.0,5.66,17.2
Madison County,60042,Urban,40153,3566,8.88,44389,76.15,0.65,0.0,8.49,18.2
Marion County,61824,Rural,11869,501,4.22,11739,74.46,0.86,0.0,13.07,16.3
Marshall County,71049,Rural,13622,442,3.24,16638,77.62,0.0,0.0,14.25,11.8
Maury County,76130,Urban,42306,1186,2.8,52940,77.16,0.21,0.03,14.06,9.8
Meigs County,61375,Rural,5235,148,2.83,5110,72.47,0.04,0.0,8.92,14.3
Monroe County,56895,Rural,19714,1082,5.49,18551,81.41,0.09,0.0,7.33,15.5
Montgomery County,75613,Urban,87759,3300,3.76,111668,79.61,0.42,0.05,8.53,11.3
Moore County,66469,Rural,2739,140,5.11,2989,82.4,0.0,0.0,8.36,8.0
Morgan County,65954,Rural,7188,364,5.06,7675,83.97,0.05,0.0,6.54,15.1
Obion County,54613,Rural,12527,741,5.92,12681,81.73,0.12,0.0,3.22,18.6
Overton County,48959,Rural,9071,311,3.43,10295,82.93,0.35,0.0,7.7,16.3
Perry County,55972,Rural,3610,151,4.18,3559,70.05,2.44,0.0,10.28,18.1
Pickett County,49030,Rural,2167,116,5.35,1877,79.44,0.0,0.0,8.36,23.9
Polk County,62522,Rural,7424,344,4.63,7387,79.9,0.11,0.0,8.34,13.9
Putnam County,58912,Urban,33601,1278,3.8,39098,78.59,0.22,0.03,10.12,18.4
Rhea County,55033,Rural,13475,946,7.02,13334,79.47,0.19,0.0,6.53,15.9
Roane County,71885,Rural,22790,1343,5.89,23347,81.2,0.04,0.18,8.92,12.0
Robertson County,83047,Urban,28255,928,3.28,37559,79.17,0.02,0.0,12.24,10.4
Rutherford County,85470,Urban,129431,3446,2.66,191041,72.99,0.28,0.13,15.0,9.3
Scott County,44711,Rural,8755,462,5.28,8677,82.91,0.02,0.0,3.69,23.1
Sequatchie County,58750,Rural,6194,274,4.42,6206,74.38,0.23,0.0,15.86,21.9
Sevier County,62581,Rural,40344,1659,4.11,48155,79.13,0.24,0.02,6.89,13.5
Shelby County,63767,Urban,362741,29600,8.16,418661,76.61,0.53,0.21,10.84,17.8
Smith County,66293,Rural,7932,308,3.88,9658,79.47,0.05,0.05,8.16,10.0
Stewart County,63114,Rural,5323,254,4.77,5822,75.15,0.86,0.0,5.86,16.4
Sullivan County,58807,Urban,68907,3281,4.76,69428,79.54,0.15,0.01,10.65,15.4
Sumner County,90301,Urban,78582,2597,3.3,104034,73.96,0.1,0.11,16.2,8.8
Tipton County,74127,Rural,22660,1179,5.2,27409,78.91,0.05,0.0,10.73,13.6
Trousdale County,72747,Rural,3700,157,4.24,5100,85.63,0.02,0.0,5.67,11.9
Unicoi County,52218,Rural,7795,310,3.98,7720,82.85,0.0,0.0,6.01,14.3
Union County,62727,Rural,7931,230,2.9,8758,74.12,1.42,0.0,11.45,13.8
Van Buren County,54931,Rural,2569,209,8.14,2666,74.12,0.0,0.0,9.71,16.1
Warren County,55487,Rural,16203,731,4.51,18067,78.52,0.08,0.0,6.36,15.7
Washington County,62809,Urban,56759,2948,5.19,63330,77.28,0.34,0.12,11.93,15.5
Wayne County,52294,Rural,5982,488,8.16,6263,82.69,0.22,0.0,10.15,20.0
Weakley County,51880,Rural,13384,742,5.54,14359,77.21,0.19,0.0,6.71,19.0
White County,52188,Rural,11226,430,3.83,11532,81.7,0.0,0.0,10.54,13.2
Williamson County,135594,Urban,92214,1893,2.05,130018,64.94,0.07,0.06,28.28,4.6
Wilson County,95839,Urban,59139,1321,2.23,80136,74.26,0.36,0.13,16.77,8.0
